JOIN_NAME,geography_type,median_home_value,home_ref,population,county_income,msa_income,ref_income,affordability_ratio,net_new_units_2021,net_new_units_2022,net_new_units_2023,net_new_units_2024,total_net_new_units,rate_2021,rate_2022,rate_2023,rate_2024,avg_annual_rate
ADELANTO,City,318300.0,Place,38010,82184,86031.0,86031.0,3.699829131359626,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.5524861878453039,0.13812154696132597
AGOURA HILLS,City,1072200.0,Place,19881,87760,93525.0,93525.0,11.464314354450682,5.0,6.0,16.0,28.0,55.0,0.2514964036014285,0.3017956843217142,0.8047884915245712,1.4083798601679995,0.6916151099039284
ALAMEDA,City,1203900.0,Place,76876,126240,133780.0,133780.0,8.999103004933472,34.0,35.0,964.0,96.0,1129.0,0.4422706696498257,0.4552786305218794,12.539674280659764,1.2487642437171549,3.671496956137156
ALBANY,City,1188600.0,Place,19768,126240,133780.0,133780.0,8.884736133951263,0.0,14.0,17.0,10.0,41.0,0.0,0.708215297450425,0.8599757183326588,0.5058680696074463,0.5185147713476326
ALHAMBRA,City,812700.0,Place,81483,87760,93525.0,93525.0,8.689655172413794,71.0,139.0,82.0,197.0,489.0,0.8713473976166808,1.7058772995594174,1.0063448817544765,2.4176822159223397,1.5003129487132285
ALISO VIEJO,City,863800.0,Place,51320,113702,93525.0,93525.0,9.236033146217588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTURAS,City,152600.0,Place,2703,56648,,56648.0,2.693828555288801,1.0,0.0,0.0,0.0,1.0,0.3699593044765076,0.0,0.0,0.0,0.0924898261191269
AMADOR CITY,City,356300.0,Place,222,81526,,81526.0,4.370384907882148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMERICAN CANYON,City,660100.0,Place,21698,108970,108970.0,108970.0,6.0576305405157385,162.0,4.0,124.0,337.0,627.0,7.46612591022214,0.1843487879067195,5.714812425108305,15.531385381141119,7.224168126094571
ANAHEIM,City,771700.0,Place,344553,113702,93525.0,93525.0,8.25126971398022,77.0,681.0,822.0,474.0,2054.0,0.22347795549596144,1.9764738661396068,2.3856997326971467,1.3756954662998147,1.4903367551581326
ANDERSON,City,272000.0,Place,11282,71931,71931.0,71931.0,3.781401620997901,0.0,21.0,21.0,14.0,56.0,0.0,1.8613720971458962,1.8613720971458962,1.2409147314305973,1.2409147314305975
ANGELS,City,444400.0,Place,3721,79877,,79877.0,5.563553964219988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTIOCH,City,607400.0,Place,115759,125727,133780.0,133780.0,4.5402900284048435,367.0,859.0,315.0,432.0,1973.0,3.1703798408763038,7.420589327827642,2.721170708109089,3.731891256835322,4.261007783412089
APPLE VALLEY,City,377300.0,Place,75478,82184,86031.0,86031.0,4.385628436261348,110.0,40.0,18.0,0.0,168.0,1.457378308911206,0.529955748694984,0.2384800869127428,0.0,0.5564535361297331
ARCADIA,City,1336500.0,Place,55550,87760,93525.0,93525.0,14.290296712109061,47.0,37.0,38.0,88.0,210.0,0.846084608460846,0.666066606660666,0.6840684068406842,1.5841584158415842,0.9450945094509451
ARCATA,City,466600.0,Place,18578,61135,61135.0,61135.0,7.6322891960415475,8.0,172.0,109.0,54.0,343.0,0.43061685865001614,9.258262460975349,5.86715469910647,2.906663795887609,4.615674453654861
ARROYO GRANDE,City,758100.0,Place,18412,93398,93398.0,93398.0,8.116876164371828,25.0,18.0,15.0,23.0,81.0,1.3578101238322833,0.977623289159244,0.8146860742993699,1.2491853139257005,1.0998262003041495
ARTESIA,City,763700.0,Place,16044,87760,93525.0,93525.0,8.1657310879444,2.0,0.0,0.0,53.0,55.0,0.12465719272001995,0.0,0.0,3.3034156070805287,0.8570181999501372
ARVIN,City,247800.0,Place,19478,67660,67660.0,67660.0,3.6624297960390186,62.0,0.0,0.0,0.0,62.0,3.1830783447992603,0.0,0.0,0.0,0.7957695861998151
ATASCADERO,City,673400.0,Place,29735,93398,93398.0,93398.0,7.210004496884301,43.0,83.0,6.0,28.0,160.0,1.4461072809820077,2.791323356314108,0.20178241129981503,0.9416512527324702,1.3452160753321003
ATHERTON,City,2000001.0,Place,7021,156000,133780.0,133780.0,14.949925250411123,8.0,20.0,45.0,6.0,79.0,1.1394388263780089,2.848597065945022,6.4093433983763,0.8545791197835066,2.8129896026207093
ATWATER,City,340600.0,Place,32013,65044,65044.0,65044.0,5.2364553225508885,0.0,29.0,7.0,10.0,46.0,0.0,0.9058819854434136,0.21866116890013432,0.3123730984287633,0.3592290631930778
AUBURN,City,642400.0,Place,13758,114678,93986.0,93986.0,6.835060540931628,70.0,75.0,105.0,130.0,380.0,5.0879488297717685,5.451373746184038,7.631923244657654,9.449047826719,6.905073411833115
AVALON,City,902800.0,Place,3373,87760,93525.0,93525.0,9.653033948142207,0.0,1.0,0.0,4.0,5.0,0.0,0.2964719833975689,0.0,1.1858879335902757,0.37058997924696113
AVENAL,City,224800.0,Place,13441,68750,68750.0,68750.0,3.2698181818181817,0.0,13.0,11.0,10.0,34.0,0.0,0.9671899412246113,0.8183914887285172,0.7439922624804701,0.6323934231083996
AZUSA,City,607400.0,Place,49318,87760,93525.0,93525.0,6.49452018176958,0.0,0.0,192.0,171.0,363.0,0.0,0.0,3.893101910053125,3.467293888641064,1.8400989496735471
BAKERSFIELD,City,347300.0,Place,408366,67660,67660.0,67660.0,5.133018031333136,1900.0,635.0,1197.0,1784.0,5516.0,4.6526890093690465,1.5549776426049182,2.9311940759024995,4.368630101428621,3.376872707326271
BALDWIN PARK,City,588100.0,Place,70720,87760,93525.0,93525.0,6.288158246458166,0.0,76.0,89.0,48.0,213.0,0.0,1.074660633484163,1.2584841628959278,0.6787330316742081,0.7529694570135747
BANNING,City,322900.0,Place,30680,89672,86031.0,86031.0,3.753298229707896,0.0,0.0,116.0,0.0,116.0,0.0,0.0,3.7809647979139505,0.0,0.9452411994784876
BARSTOW,City,222600.0,Place,25198,82184,86031.0,86031.0,2.5874394113749695,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.07937137868084769,0.11905706802127153,0.04960711167552981
BEAUMONT,City,464000.0,Place,54817,89672,86031.0,86031.0,5.393404702955912,110.0,769.0,0.0,534.0,1413.0,2.0066767608588574,14.028494810004196,0.0,9.741503548169364,6.444168779758105
BELL,City,561400.0,Place,32830,87760,93525.0,93525.0,6.00267308206362,0.0,21.0,0.0,16.0,37.0,0.0,0.6396588486140725,0.0,0.487359122753579,0.2817544928419129
BELLFLOWER,City,661100.0,Place,77396,87760,93525.0,93525.0,7.068698209035017,36.0,36.0,1.0,68.0,141.0,0.4651403173290609,0.4651403173290609,0.012920564370251693,0.8785983771771151,0.45544989405137215
BELL GARDENS,City,527900.0,Place,38661,87760,93525.0,93525.0,5.644480085538626,52.0,16.0,33.0,42.0,143.0,1.3450247018959676,0.41385375442952843,0.8535733685109025,1.0863661053775122,0.9247044825534776
BELMONT,City,2000001.0,Place,27505,156000,133780.0,133780.0,14.949925250411123,9.0,9.0,20.0,464.0,502.0,0.32721323395746227,0.32721323395746227,0.7271405199054717,16.869660061806943,4.562806762406835
BELVEDERE,City,2000001.0,Place,2415,142785,133780.0,133780.0,14.949925250411123,2.0,1.0,5.0,-21.0,-13.0,0.8281573498964804,0.4140786749482402,2.070393374741201,-8.695652173913043,-1.3457556935817805
BENICIA,City,778600.0,Place,26861,99994,99994.0,99994.0,7.786467188031282,2.0,10.0,5.0,13.0,30.0,0.07445739175756673,0.3722869587878337,0.18614347939391684,0.48397304642418376,0.27921521909087527
BERKELEY,City,1351100.0,Place,120223,126240,133780.0,133780.0,10.099416953206758,320.0,803.0,684.0,630.0,2437.0,2.6617203031033996,6.679254385600093,5.689427147883516,5.240261846734818,5.067665920830457
BEVERLY HILLS,City,2000001.0,Place,31955,87760,93525.0,93525.0,21.38466720128308,-35.0,-61.0,2.0,24.0,-70.0,-1.095290251916758,-1.908934439054921,0.06258801439524332,0.7510561727429197,-0.5476451259583789
BIG BEAR LAKE,City,517900.0,Place,5038,82184,86031.0,86031.0,6.019923050993246,87.0,21.0,44.0,74.0,226.0,17.26875744342993,4.168320762207225,8.73362445414847,14.688368400158794,11.214767764986105
BIGGS,City,301800.0,Place,2254,68574,68574.0,68574.0,4.4010849593140255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BISHOP,City,405700.0,Place,3793,72432,72432.0,72432.0,5.601115529047934,7.0,10.0,17.0,22.0,56.0,1.8455048774057474,2.636435539151068,4.4819404165568155,5.800158186132349,3.6910097548114953
BLUE LAKE,City,460800.0,Place,997,61135,61135.0,61135.0,7.53741719146152,0.0,2.0,-1.0,0.0,1.0,0.0,2.0060180541624875,-1.0030090270812437,0.0,0.25075225677031093
BLYTHE,City,203800.0,Place,17824,89672,86031.0,86031.0,2.3689135311689973,-2.0,-1.0,3.0,-3.0,-3.0,-0.11220825852782765,-0.056104129263913824,0.16831238779174149,-0.16831238779174149,-0.042078096947935364
BRADBURY,City,1914100.0,Place,788,87760,93525.0,93525.0,20.466185511895215,0.0,1.0,0.0,-1.0,0.0,0.0,1.2690355329949237,0.0,-1.2690355329949237,0.0
BRAWLEY,City,270100.0,Place,26934,56393,56393.0,56393.0,4.789601546291206,227.0,0.0,0.0,0.0,227.0,8.42800920769288,0.0,0.0,0.0,2.10700230192322
BREA,City,874300.0,Place,47337,113702,93525.0,93525.0,9.3483025928896,3.0,677.0,19.0,8.0,707.0,0.06337537233031244,14.301709022540507,0.4013773580919788,0.16900099288083317,3.7338656864609083
BRENTWOOD,City,791600.0,Place,64609,125727,133780.0,133780.0,5.917177455523994,275.0,0.0,230.0,255.0,760.0,4.2563729511368384,0.0,3.5598755591326285,3.9468185546905232,2.9407667662399977
BRISBANE,City,1127200.0,Place,4718,156000,133780.0,133780.0,8.42577365824488,1.0,7.0,2.0,0.0,10.0,0.21195421788893598,1.483679525222552,0.42390843577787196,0.0,0.5298855447223401
BUELLTON,City,704200.0,Place,5090,95977,95977.0,95977.0,7.337174531398148,1.0,2.0,1.0,2.0,6.0,0.19646365422396855,0.3929273084479371,0.19646365422396855,0.3929273084479371,0.2946954813359528
BUENA PARK,City,771900.0,Place,83052,113702,93525.0,93525.0,8.253408179631114,98.0,58.0,135.0,219.0,510.0,1.1799836247170448,0.6983576554447816,1.625487646293888,2.636902181765641,1.5351827770553388
BURBANK,City,1041100.0,Place,105165,87760,93525.0,93525.0,11.131782945736434,380.0,840.0,103.0,70.0,1393.0,3.6133694670280034,7.987448295535587,0.9794133029049589,0.6656206912946322,3.3114629391907955
BURLINGAME,City,2000001.0,Place,30526,156000,133780.0,133780.0,14.949925250411123,17.0,142.0,197.0,443.0,799.0,0.556902312782546,4.651772259713032,6.453515036362445,14.51221909192164,6.543602175194915
CALABASAS,City,1453900.0,Place,22869,87760,93525.0,93525.0,15.54557604918471,0.0,0.0,5.0,3.0,8.0,0.0,0.0,0.2186365822729459,0.13118194936376754,0.08745463290917836
CALEXICO,City,281700.0,Place,38476,56393,56393.0,56393.0,4.995300835210044,28.0,39.0,66.0,83.0,216.0,0.7277263748830439,1.0136188793013827,1.7153550265100321,2.1571888969747377,1.4034722944172993
CALIFORNIA CITY,City,239600.0,Place,14821,67660,67660.0,67660.0,3.5412355897132723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALIMESA,City,423300.0,Place,10680,89672,86031.0,86031.0,4.920319419744046,188.0,50.0,1.0,7.0,246.0,17.602996254681646,4.681647940074907,0.09363295880149813,0.6554307116104869,5.758426966292134
CALIPATRIA,City,172900.0,Place,6549,56393,56393.0,56393.0,3.0659833667299132,0.0,0.0,7.0,0.0,7.0,0.0,0.0,1.0688654756451366,0.0,0.26721636891128414
CALISTOGA,City,702700.0,Place,5159,108970,108970.0,108970.0,6.448563824905937,15.0,0.0,0.0,9.0,24.0,2.9075402209730568,0.0,0.0,1.744524132583834,1.1630160883892227
CAMARILLO,City,766100.0,Place,70244,107327,107327.0,107327.0,7.137998826017684,103.0,149.0,60.0,15.0,327.0,1.466317407892489,2.1211776094755423,0.8541654803257217,0.21354137008143043,1.1638004669437958
CAMPBELL,City,1550000.0,Place,42848,159674,157444.0,157444.0,9.844770204009045,284.0,316.0,353.0,-64381.0,-63428.0,6.628080657206871,7.374906646751307,8.238424197162061,-1502.5438760268858,-370.0756161314414
CANYON LAKE,City,647300.0,Place,11107,89672,86031.0,86031.0,7.524032034964141,0.0,0.0,2.0,11.0,13.0,0.0,0.0,0.18006662465112092,0.990366435581165,0.29260826505807147
CAPITOLA,City,746000.0,Place,9813,109266,109266.0,109266.0,6.827375395823037,1.0,4.0,12.0,1.0,18.0,0.1019056353816366,0.4076225415265464,1.2228676245796393,0.1019056353816366,0.4585753592173647
CARLSBAD,City,1156900.0,Place,114500,102285,102285.0,102285.0,11.310553844649753,382.0,218.0,56.0,233.0,889.0,3.3362445414847164,1.9039301310043668,0.48908296943231444,2.034934497816594,1.9410480349344978
CARMEL-BY-THE-SEA,City,2000001.0,Place,3186,94486,94486.0,94486.0,21.167167622716594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARPINTERIA,City,965200.0,Place,13100,95977,95977.0,95977.0,10.056576054679766,14.0,9.0,0.0,17.0,40.0,1.0687022900763359,0.6870229007633588,0.0,1.297709923664122,0.7633587786259541
CARSON,City,645600.0,Place,93523,87760,93525.0,93525.0,6.902967121090618,13.0,19.0,67.0,65.0,164.0,0.13900323984474405,0.203158581311549,0.7164013130459888,0.6950161992237204,0.43839483335650054
CATHEDRAL CITY,City,420700.0,Place,52047,89672,86031.0,86031.0,4.890097755460241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERES,City,397200.0,Place,48918,79661,79661.0,79661.0,4.986128720452919,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.5315016967169549,0.13287542417923873
CERRITOS,City,908600.0,Place,48340,87760,93525.0,93525.0,9.715049452018176,3.0,2.0,2.0,6.0,13.0,0.062060405461315686,0.041373603640877124,0.041373603640877124,0.12412081092263137,0.06723210591642532
CHICO,City,455300.0,Place,102032,68574,68574.0,68574.0,6.639542683816024,575.0,812.0,623.0,635.0,2645.0,5.635486906068684,7.958287596048299,6.105927552140505,6.22353771365846,6.480809941978986
CHINO,City,641500.0,Place,91775,82184,86031.0,86031.0,7.456614476177192,406.0,522.0,60.0,406.0,1394.0,4.423862707709071,5.687823481340234,0.6537728139471534,4.423862707709071,3.797330427676382
CHINO HILLS,City,830000.0,Place,78024,82184,86031.0,86031.0,9.647685136753031,27.0,23.0,17.0,94.0,161.0,0.3460473700399877,0.29478109299702654,0.21788167743258482,1.2047575105095867,0.5158669127447965
CHOWCHILLA,City,331500.0,Place,18876,75496,71897.0,71897.0,4.610762618746262,0.0,32.0,0.0,0.0,32.0,0.0,1.6952744225471499,0.0,0.0,0.42381860563678747
CHULA VISTA,City,697400.0,Place,275030,102285,102285.0,102285.0,6.818204037737694,774.0,1341.0,1062.0,1346.0,4523.0,2.8142384467149038,4.875831727447915,3.861396938515798,4.894011562375014,4.111369668763408
CITRUS HEIGHTS,City,432100.0,Place,87036,88724,93986.0,93986.0,4.59749324367459,77.0,187.0,120.0,149.0,533.0,0.8846913920676502,2.148536237878579,1.3787398317937405,1.7119352911438945,1.530975688220966
CLAREMONT,City,870800.0,Place,36553,87760,93525.0,93525.0,9.31087944399893,14.0,27.0,75.0,26.0,142.0,0.3830054988646623,0.7386534620961344,2.0518151724892624,0.7112959264629443,0.9711925149782509
CLAYTON,City,1017300.0,Place,10962,125727,133780.0,133780.0,7.6042756764837796,2.0,0.0,21.0,3.0,26.0,0.18244845831052725,0.0,1.9157088122605364,0.27367268746579093,0.5929574895092137
CLEARLAKE,City,204500.0,Place,16604,58738,58738.0,58738.0,3.4815621914263337,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,5.239701276800771,1.3099253192001927
CLOVERDALE,City,613400.0,Place,8933,102840,102840.0,102840.0,5.964605211979775,-6.0,16.0,3.0,1.0,14.0,-0.6716668532407926,1.7911116086421135,0.3358334266203963,0.1119444755401321,0.39180566439046227
CLOVIS,City,453300.0,Place,122719,71434,71897.0,71897.0,6.304852775498282,1167.0,577.0,643.0,1165.0,3552.0,9.509529901645221,4.701798417522959,5.239612447950195,9.49323250678379,7.2360433184755415
COACHELLA,City,341300.0,Place,42594,89672,86031.0,86031.0,3.9671746231009752,110.0,82.0,80.0,55.0,327.0,2.5825233600976665,1.9251537775273513,1.8781988073437574,1.2912616800488332,1.9192844062544023
COALINGA,City,254600.0,Place,17352,71434,71897.0,71897.0,3.541176961486571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLFAX,City,397100.0,Place,2095,114678,93986.0,93986.0,4.225097354925202,-18175.0,9.0,0.0,1.0,-18165.0,-8675.417661097852,4.2959427207637235,0.0,0.47732696897374705,-2167.6610978520284
COLMA,City,1040900.0,Place,1441,156000,133780.0,133780.0,7.780684706234116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLTON,City,411100.0,Place,53798,82184,86031.0,86031.0,4.778510071950809,0.0,0.0,21.0,48.0,69.0,0.0,0.0,0.3903490836090561,0.8922264768206997,0.32064389010743893
COLUSA,City,357400.0,Place,6439,75149,,75149.0,4.755884975182637,0.0,26.0,0.0,0.0,26.0,0.0,4.037894082932133,0.0,0.0,1.0094735207330332
COMMERCE,City,583200.0,Place,12072,87760,93525.0,93525.0,6.235765838011227,3.0,0.0,0.0,0.0,3.0,0.24850894632206758,0.0,0.0,0.0,0.062127236580516894
COMPTON,City,546700.0,Place,93525,87760,93525.0,93525.0,5.845495856722802,4.0,0.0,12.0,0.0,16.0,0.04276931301790965,0.0,0.12830793905372895,0.0,0.04276931301790965
CONCORD,City,755900.0,Place,124260,125727,133780.0,133780.0,5.650321423232172,58.0,126.0,203.0,91.0,478.0,0.46676323837115724,1.0140028971511348,1.6336713342990503,0.7323354257202639,0.9616932238854016
CORCORAN,City,220500.0,Place,22626,68750,68750.0,68750.0,3.207272727272727,0.0,15.0,24.0,11.0,50.0,0.0,0.6629541235746487,1.0607265977194378,0.48616635728807567,0.5524617696455405
CORNING,City,274600.0,Place,8168,61834,61834.0,61834.0,4.4409224698386005,7.0,0.0,33.0,27.0,67.0,0.8570029382957884,0.0,4.040156709108716,3.305582761998041,2.0506856023506366
CORONA,City,656500.0,Place,158839,89672,86031.0,86031.0,7.6309702316606804,427.0,167.0,304.0,264.0,1162.0,2.688256662406588,1.0513790693721317,1.9138876472402875,1.6620603252349864,1.828895926063498
CORONADO,City,1998900.0,Place,18558,102285,102285.0,102285.0,19.54245490541135,-1.0,-12.0,-6.0,8.0,-11.0,-0.05388511693070373,-0.646621403168445,-0.3233107015842225,0.43108093544562986,-0.14818407155943533
CORTE MADERA,City,1702000.0,Place,10101,142785,133780.0,133780.0,12.722380026909851,5.0,26.0,12.0,26.0,69.0,0.49500049500049503,2.574002574002574,1.1880011880011878,2.574002574002574,1.7077517077517075
COSTA MESA,City,1054700.0,Place,110538,113702,93525.0,93525.0,11.277198609997328,80.0,35.0,25.0,243.0,383.0,0.7237330148908068,0.316633194014728,0.2261665671533771,2.1983390327308254,0.8662179521974342
COTATI,City,702500.0,Place,7533,102840,102840.0,102840.0,6.830999611046286,30.0,20.0,3.0,1.0,54.0,3.9824771007566704,2.6549847338377806,0.39824771007566706,0.13274923669188904,1.7921146953405016
COVINA,City,666000.0,Place,50143,87760,93525.0,93525.0,7.121090617481957,21.0,29.0,180.0,166.0,396.0,0.4188022256346848,0.5783459306383743,3.5897333625830123,3.310531878826556,1.9743533494206567
CRESCENT CITY,City,290500.0,Place,6180,66780,66780.0,66780.0,4.350104821802935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUDAHY,City,505300.0,Place,22325,87760,93525.0,93525.0,5.4028334669874365,4.0,55.0,-2.0,2.0,59.0,0.17917133258678614,2.463605823068309,-0.08958566629339307,0.08958566629339307,0.6606942889137738
CULVER CITY,City,1126900.0,Place,39993,87760,93525.0,93525.0,12.049184709970596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUPERTINO,City,2000001.0,Place,58886,159674,157444.0,157444.0,12.702935646960189,24.0,2.0,-2.0,114.0,138.0,0.40756716367218015,0.03396393030601501,-0.03396393030601501,1.9359440274428557,0.5858777977787589
CYPRESS,City,870100.0,Place,49531,113702,93525.0,93525.0,9.303394814220797,77.0,61.0,93.0,0.0,231.0,1.5545819789626698,1.231551957360037,1.8776120005653025,0.0,1.1659364842220024
DALY CITY,City,1092700.0,Place,102560,156000,133780.0,133780.0,8.167887576618329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANA POINT,City,1200900.0,Place,32883,113702,93525.0,93525.0,12.840417000801924,99.0,137.0,15.0,-3.0,248.0,3.0106742085576137,4.166286531034273,0.4561627588723656,-0.09123255177447313,1.8854727366724449
DANVILLE,City,1583300.0,Place,43426,125727,133780.0,133780.0,11.835102406936763,168.0,10.0,27.0,58.0,263.0,3.8686501174411645,0.2302767927048312,0.6217473403030442,1.3356053976880211,1.5140699120342653
DAVIS,City,829000.0,Place,66801,88818,93986.0,93986.0,8.820462622092652,48.0,60.0,311.0,412.0,831.0,0.7185521174832712,0.898190146854089,4.6556189278603615,6.167572341731411,3.109983383482283
DELANO,City,270300.0,Place,50835,67660,67660.0,67660.0,3.9949748743718594,133.0,0.0,0.0,0.0,133.0,2.616307662043867,0.0,0.0,0.0,0.6540769155109668
DEL MAR,City,2000001.0,Place,3921,102285,102285.0,102285.0,19.553218947059687,6.0,19.0,23.0,21.0,69.0,1.530221882172915,4.845702626880898,5.865850548329507,5.355776587605202,4.39938791124713
DEL REY OAKS,City,844000.0,Place,1556,94486,94486.0,94486.0,8.932540270516267,0.0,0.0,3.0,2.0,5.0,0.0,0.0,1.9280205655526992,1.2853470437017993,0.8033419023136246
